source,query_seconds,supersteps,total_msgs,total_vadd
131927,2.990361,26,19028450,0
141628,2.770654,26,18247095,0
24325,2.601557,27,18512975,0
14030,2.606487,25,17443199,0
113856,2.572123,25,17193909,0
77564,2.412094,24,16349048,0
3372,3.062846,28,19724587,0
77175,2.649473,25,18544821,0
84939,2.755760,28,18459057,0
139847,2.522685,27,17851443,0
158561,2.645065,30,18742104,0
32650,2.835548,27,19028448,0
141915,1.896402,22,13428677,0
82352,3.171854,29,21728508,0
161448,2.183280,26,15814517,0
67232,2.626988,26,18556778,0
91650,2.506738,25,17616099,0
12634,2.115875,23,14646826,0
164857,2.218422,25,15702885,0
86265,2.622175,25,18287888,0
109345,2.356511,23,16570108,0
87453,2.416787,25,16250430,0
57907,2.600048,26,17529113,0
6055,2.188045,22,15085104,0
83599,2.621686,27,17764542,0
134969,2.366285,25,16367153,0
84391,2.699361,26,18736078,0
65953,2.984189,28,20831731,0
41424,2.438129,25,16993509,0
38593,2.554370,27,16984502,0
113129,2.933332,28,20020576,0
15356,2.485001,24,17012924,0
112194,2.242125,24,15602213,0
37118,2.286128,25,15359342,0
140013,3.041307,30,20404457,0
87832,2.415156,25,16239397,0
29769,3.439057,27,22507320,0
160573,2.874166,28,19983678,0
70441,2.511149,25,17562148,0
137991,2.381634,25,16458922,0
41516,2.317181,26,15433800,0
14759,2.580967,26,17120338,0
21586,2.591068,25,17766122,0
91089,2.761515,25,18931223,0
36400,2.781806,26,18880052,0
39082,2.902555,29,20578243,0
146610,2.698858,26,18214956,0
1366,2.525498,25,17506757,0
118192,2.647014,26,17780043,0
25899,2.327444,25,15882710,0
6691,2.613001,27,18248910,0
82545,2.506503,27,17092423,0

average: 2.593351
median: 2.595558
p99: 3.302783

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.525498, 3.062846, 2.188045, 2.613001, 2.115875, 2.606487, 2.580967, 2.485001, 2.591068, 2.601557, 2.327444, 3.439057, 2.835548, 2.781806, 2.286128, 2.554370, 2.902555, 2.438129, 2.317181, 2.600048, 2.984189, 2.626988, 2.511149, 2.649473, 2.412094, 3.171854, 2.506503, 2.621686, 2.699361, 2.755760, 2.622175, 2.416787, 2.415156, 2.761515, 2.506738, 2.356511, 2.242125, 2.933332, 2.572123, 2.647014, 2.990361, 2.366285, 2.381634, 2.522685, 3.041307, 2.770654, 1.896402, 2.698858, 2.645065, 2.874166, 2.183280, 2.218422
