query_seconds,supersteps,total_msgs,total_vadd
1.557001,12,46348320,0
1.552150,12,46348320,0
1.481232,12,46348320,0
1.538471,12,46348320,0
1.456752,12,46348320,0
1.493041,12,46348320,0
1.462437,12,46348320,0
1.507635,12,46348320,0
1.483987,12,46348320,0
1.464538,12,46348320,0
1.526672,12,46348320,0
1.513629,12,46348320,0
1.460793,12,46348320,0
1.461491,12,46348320,0
1.472586,12,46348320,0
1.449284,12,46348320,0
1.464114,12,46348320,0
1.499843,12,46348320,0
1.447618,12,46348320,0
1.521263,12,46348320,0
1.466854,12,46348320,0
1.483124,12,46348320,0
1.475982,12,46348320,0
1.444448,12,46348320,0
1.535000,12,46348320,0
1.519222,12,46348320,0
1.482461,12,46348320,0
1.473501,12,46348320,0
1.770704,12,46348320,0
1.650232,12,46348320,0
1.467601,12,46348320,0
1.472066,12,46348320,0
1.470073,12,46348320,0
1.456790,12,46348320,0
1.479385,12,46348320,0
1.518810,12,46348320,0
1.473844,12,46348320,0
1.493621,12,46348320,0
1.449648,12,46348320,0
1.460872,12,46348320,0
1.458362,12,46348320,0
1.486946,12,46348320,0
1.450995,12,46348320,0
1.472888,12,46348320,0
1.468840,12,46348320,0
1.462389,12,46348320,0
1.525203,12,46348320,0
1.460948,12,46348320,0
1.470384,12,46348320,0
1.450214,12,46348320,0

average: 1.491319
median: 1.473194
p99: 1.711673

individual times: 1.444448, 1.447618, 1.449284, 1.449648, 1.450214, 1.450995, 1.456752, 1.456790, 1.458362, 1.460793, 1.460872, 1.460948, 1.461491, 1.462389, 1.462437, 1.464114, 1.464538, 1.466854, 1.467601, 1.468840, 1.470073, 1.470384, 1.472066, 1.472586, 1.472888, 1.473501, 1.473844, 1.475982, 1.479385, 1.481232, 1.482461, 1.483124, 1.483987, 1.486946, 1.493041, 1.493621, 1.499843, 1.507635, 1.513629, 1.518810, 1.519222, 1.521263, 1.525203, 1.526672, 1.535000, 1.538471, 1.552150, 1.557001, 1.650232, 1.770704
