query_seconds,supersteps,total_msgs,total_vadd
1.514411,12,46348320,0
1.499290,12,46348320,0
1.446343,12,46348320,0
1.460747,12,46348320,0
1.531164,12,46348320,0
1.506580,12,46348320,0
1.539543,12,46348320,0
1.418595,12,46348320,0
1.479415,12,46348320,0
1.485404,12,46348320,0
1.453505,12,46348320,0
1.442273,12,46348320,0
1.423713,12,46348320,0
1.427108,12,46348320,0
1.503735,12,46348320,0
1.417161,12,46348320,0
1.504278,12,46348320,0
1.404871,12,46348320,0
1.460655,12,46348320,0
1.430224,12,46348320,0
1.454418,12,46348320,0
1.454672,12,46348320,0
1.418582,12,46348320,0
1.414074,12,46348320,0
1.434521,12,46348320,0
1.416616,12,46348320,0
1.412978,12,46348320,0
1.417009,12,46348320,0
1.435795,12,46348320,0
1.468634,12,46348320,0
1.428435,12,46348320,0
1.434846,12,46348320,0
1.417091,12,46348320,0
1.448847,12,46348320,0
1.502772,12,46348320,0
1.490709,12,46348320,0
1.450636,12,46348320,0
1.422574,12,46348320,0
1.422345,12,46348320,0
1.490022,12,46348320,0
1.433962,12,46348320,0
1.429118,12,46348320,0
1.447952,12,46348320,0
1.421924,12,46348320,0
1.415070,12,46348320,0
1.491438,12,46348320,0
1.496749,12,46348320,0
1.430734,12,46348320,0
1.458842,12,46348320,0
1.508064,12,46348320,0

average: 1.454369
median: 1.447147
p99: 1.535437

individual times: 1.404871, 1.412978, 1.414074, 1.415070, 1.416616, 1.417009, 1.417091, 1.417161, 1.418582, 1.418595, 1.421924, 1.422345, 1.422574, 1.423713, 1.427108, 1.428435, 1.429118, 1.430224, 1.430734, 1.433962, 1.434521, 1.434846, 1.435795, 1.442273, 1.446343, 1.447952, 1.448847, 1.450636, 1.453505, 1.454418, 1.454672, 1.458842, 1.460655, 1.460747, 1.468634, 1.479415, 1.485404, 1.490022, 1.490709, 1.491438, 1.496749, 1.499290, 1.502772, 1.503735, 1.504278, 1.506580, 1.508064, 1.514411, 1.531164, 1.539543
