query_seconds,supersteps,total_msgs,total_vadd
1.572080,12,46348320,0
1.524024,12,46348320,0
1.459013,12,46348320,0
1.501733,12,46348320,0
1.461978,12,46348320,0
1.476403,12,46348320,0
1.498983,12,46348320,0
1.919511,12,46348320,0
1.504063,12,46348320,0
1.481427,12,46348320,0
1.467825,12,46348320,0
1.461366,12,46348320,0
1.523898,12,46348320,0
1.509611,12,46348320,0
1.537597,12,46348320,0
1.516120,12,46348320,0
1.482357,12,46348320,0
1.451604,12,46348320,0
1.500702,12,46348320,0
1.442905,12,46348320,0
1.456248,12,46348320,0
1.511081,12,46348320,0
1.509410,12,46348320,0
1.446331,12,46348320,0
1.447209,12,46348320,0
1.630526,12,46348320,0
1.431357,12,46348320,0
1.499588,12,46348320,0
1.456344,12,46348320,0
1.478112,12,46348320,0
1.473629,12,46348320,0
1.507837,12,46348320,0
1.515307,12,46348320,0
1.479483,12,46348320,0
1.450784,12,46348320,0
1.526673,12,46348320,0
1.464044,12,46348320,0
1.445463,12,46348320,0
1.462976,12,46348320,0
1.472962,12,46348320,0
1.448169,12,46348320,0
1.466264,12,46348320,0
1.497178,12,46348320,0
1.547702,12,46348320,0
1.463144,12,46348320,0
1.497465,12,46348320,0
1.507739,12,46348320,0
1.455990,12,46348320,0
1.455750,12,46348320,0
1.513179,12,46348320,0

average: 1.496223
median: 1.480455
p99: 1.777908

individual times: 1.431357, 1.442905, 1.445463, 1.446331, 1.447209, 1.448169, 1.450784, 1.451604, 1.455750, 1.455990, 1.456248, 1.456344, 1.459013, 1.461366, 1.461978, 1.462976, 1.463144, 1.464044, 1.466264, 1.467825, 1.472962, 1.473629, 1.476403, 1.478112, 1.479483, 1.481427, 1.482357, 1.497178, 1.497465, 1.498983, 1.499588, 1.500702, 1.501733, 1.504063, 1.507739, 1.507837, 1.509410, 1.509611, 1.511081, 1.513179, 1.515307, 1.516120, 1.523898, 1.524024, 1.526673, 1.537597, 1.547702, 1.572080, 1.630526, 1.919511
