source,query_seconds,supersteps,total_msgs,total_vadd
131927,0.360820,9,3084875,0
141628,0.339709,8,3182134,0
24325,0.347475,8,3168142,0
14030,0.331318,8,3065150,0
113856,0.334458,8,3098426,0
77564,0.321333,8,3235418,0
3372,0.326214,9,3161094,0
77175,0.319835,8,3097646,0
84939,0.354288,9,3163173,0

average: 0.337272
median: 0.334458
p99: 0.360297

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 0.326214, 0.331318, 0.347475, 0.319835, 0.321333, 0.354288, 0.334458, 0.360820, 0.339709
