source,query_seconds,supersteps,total_msgs,total_vadd
131927,0.897486,9,1898077,0
141628,0.848321,8,1963412,0
24325,0.833288,8,1864504,0
14030,0.844970,8,1902207,0
113856,0.887188,8,1872784,0
77564,0.949202,8,1932905,0
3372,0.936350,9,1853993,0
77175,0.837987,8,1857861,0
84939,0.947741,9,1854854,0

average: 0.886948
median: 0.887188
p99: 0.949085

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 0.936350, 0.844970, 0.833288, 0.837987, 0.949202, 0.947741, 0.887188, 0.897486, 0.848321
