source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.619432,26,19028450,0
141628,2.827648,26,18247095,0
24325,2.643708,27,18512975,0
14030,2.566532,25,17443199,0
113856,2.565902,25,17193909,0
77564,2.397456,24,16349048,0
3372,2.891500,28,19724587,0
77175,2.646950,25,18544821,0
84939,2.752920,28,18459057,0
139847,2.568816,27,17851443,0
158561,2.665800,30,18742104,0
32650,2.840711,27,19028448,0
141915,1.986066,22,13428677,0
82352,3.194047,29,21728508,0
161448,3.387319,26,15814517,0
67232,2.699377,26,18556778,0
91650,2.558949,25,17616099,0
12634,2.120530,23,14646826,0
164857,2.304295,25,15702885,0
86265,2.641143,25,18287888,0
109345,2.400064,23,16570108,0
87453,2.412073,25,16250430,0
57907,2.627147,26,17529113,0
6055,2.286678,22,15085104,0
83599,2.676114,27,17764542,0
134969,2.403509,25,16367153,0
84391,2.732589,26,18736078,0
65953,2.992642,28,20831731,0
41424,2.467140,25,16993509,0
38593,2.487548,27,16984502,0
113129,2.942420,28,20020576,0
15356,2.497649,24,17012924,0
112194,2.275223,24,15602213,0
37118,2.280678,25,15359342,0
140013,3.125427,30,20404457,0
87832,2.423448,25,16239397,0
29769,3.488890,27,22507320,0
160573,2.948097,28,19983678,0
70441,2.493044,25,17562148,0
137991,2.386141,25,16458922,0
41516,2.238155,26,15433800,0
14759,2.573280,26,17120338,0
21586,2.598966,25,17766122,0
91089,2.768154,25,18931223,0
36400,2.764662,26,18880052,0
39082,2.926198,29,20578243,0
146610,2.667886,26,18214956,0
1366,2.484025,25,17506757,0
118192,2.658425,26,17780043,0
25899,2.329430,25,15882710,0
6691,2.597730,27,18248910,0
82545,2.464326,27,17092423,0

average: 2.640324
median: 2.598348
p99: 3.552856

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.484025, 2.891500, 2.286678, 2.597730, 2.120530, 2.566532, 2.573280, 2.497649, 2.598966, 2.643708, 2.329430, 3.488890, 2.840711, 2.764662, 2.280678, 2.487548, 2.926198, 2.467140, 2.238155, 2.627147, 2.992642, 2.699377, 2.493044, 2.646950, 2.397456, 3.194047, 2.464326, 2.676114, 2.732589, 2.752920, 2.641143, 2.412073, 2.423448, 2.768154, 2.558949, 2.400064, 2.275223, 2.942420, 2.565902, 2.658425, 3.619432, 2.403509, 2.386141, 2.568816, 3.125427, 2.827648, 1.986066, 2.667886, 2.665800, 2.948097, 3.387319, 2.304295
