source,query_seconds,supersteps,total_msgs,total_vadd
131927,5.774439,26,14269920,0
141628,5.575737,26,13656679,0
24325,5.219536,27,13938872,0
14030,5.131076,25,13126291,0
113856,5.059533,25,12898144,0
77564,4.752030,24,12352424,0
3372,5.726159,28,14855967,0
77175,5.322757,25,13984594,0
84939,5.507499,28,13902470,0
139847,5.018038,27,13506286,0
158561,5.290225,30,14130115,0
32650,5.576028,27,14381163,0
141915,3.861967,22,10212940,0
82352,6.080194,29,16252814,0
161448,4.473843,26,11985031,0
67232,5.199924,26,13953903,0
91650,5.312200,25,13239357,0
12634,4.255808,23,11051690,0
164857,4.332308,25,11930554,0
86265,5.222375,25,13680403,0
109345,4.935967,23,12477571,0
87453,4.871643,25,12326132,0
57907,5.341173,26,13247497,0
6055,4.600898,22,11417409,0
83599,5.343419,27,13310953,0
134969,4.860859,25,12281155,0
84391,5.446041,26,14083138,0
65953,6.064307,28,15716372,0
41424,5.136821,25,12872602,0
38593,4.997572,27,12782453,0
113129,5.768009,28,15132408,0
15356,5.272429,24,12838493,0
112194,4.635363,24,11888230,0
37118,4.701658,25,11609035,0
140013,6.067790,30,15379530,0
87832,5.061705,25,12296490,0
29769,7.043491,27,16833719,0
160573,6.037666,28,15127219,0
70441,5.027149,25,13197734,0
137991,4.838651,25,12451909,0
41516,4.505479,26,11690316,0
14759,5.153765,26,12985507,0
21586,5.347058,25,13419691,0
91089,5.812445,25,14218406,0
36400,5.503514,26,14149246,0
39082,5.858240,29,15429708,0
146610,5.587472,26,13659443,0
1366,5.054253,25,13180717,0
118192,5.337254,26,13372162,0
25899,4.610718,25,12092308,0
6691,5.121776,27,13746424,0
82545,4.974035,27,12962439,0

average: 5.223275
median: 5.209730
p99: 6.552210

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 5.054253, 5.726159, 4.600898, 5.121776, 4.255808, 5.131076, 5.153765, 5.272429, 5.347058, 5.219536, 4.610718, 7.043491, 5.576028, 5.503514, 4.701658, 4.997572, 5.858240, 5.136821, 4.505479, 5.341173, 6.064307, 5.199924, 5.027149, 5.322757, 4.752030, 6.080194, 4.974035, 5.343419, 5.446041, 5.507499, 5.222375, 4.871643, 5.061705, 5.812445, 5.312200, 4.935967, 4.635363, 5.768009, 5.059533, 5.337254, 5.774439, 4.860859, 4.838651, 5.018038, 6.067790, 5.575737, 3.861967, 5.587472, 5.290225, 6.037666, 4.473843, 4.332308
