source,query_seconds,supersteps,total_msgs,total_vadd
131927,5.851220,26,14269920,0
141628,5.702259,26,13656679,0
24325,5.244758,27,13938872,0
14030,5.204270,25,13126291,0
113856,5.154543,25,12898144,0
77564,4.689179,24,12352424,0
3372,5.777599,28,14855967,0
77175,5.470649,25,13984594,0
84939,5.403508,28,13902470,0
139847,5.057587,27,13506286,0
158561,5.481650,30,14130115,0
32650,5.560518,27,14381163,0
141915,3.849082,22,10212940,0
82352,6.247522,29,16252814,0
161448,4.393911,26,11985031,0
67232,5.165518,26,13953903,0
91650,5.077912,25,13239357,0
12634,4.192780,23,11051690,0
164857,4.304435,25,11930554,0
86265,5.199775,25,13680403,0
109345,4.887223,23,12477571,0
87453,4.713302,25,12326132,0
57907,5.065876,26,13247497,0
6055,4.501864,22,11417409,0
83599,5.080252,27,13310953,0
134969,4.666516,25,12281155,0
84391,5.594883,26,14083138,0
65953,6.050240,28,15716372,0
41424,4.958555,25,12872602,0
38593,4.928381,27,12782453,0
113129,5.897016,28,15132408,0
15356,5.103256,24,12838493,0
112194,4.466477,24,11888230,0
37118,4.567950,25,11609035,0
140013,6.045451,30,15379530,0
87832,4.792747,25,12296490,0
29769,7.140500,27,16833719,0
160573,6.103879,28,15127219,0
70441,5.075020,25,13197734,0
137991,4.961981,25,12451909,0
41516,4.490763,26,11690316,0
14759,5.097137,26,12985507,0
21586,5.348897,25,13419691,0
91089,5.579818,25,14218406,0
36400,5.414570,26,14149246,0
39082,5.881032,29,15429708,0
146610,5.367357,26,13659443,0
1366,4.967382,25,13180717,0
118192,5.412806,26,13372162,0
25899,4.555409,25,12092308,0
6691,5.081316,27,13746424,0
82545,4.935558,27,12962439,0

average: 5.187732
median: 5.100197
p99: 6.685081

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 4.967382, 5.777599, 4.501864, 5.081316, 4.192780, 5.204270, 5.097137, 5.103256, 5.348897, 5.244758, 4.555409, 7.140500, 5.560518, 5.414570, 4.567950, 4.928381, 5.881032, 4.958555, 4.490763, 5.065876, 6.050240, 5.165518, 5.075020, 5.470649, 4.689179, 6.247522, 4.935558, 5.080252, 5.594883, 5.403508, 5.199775, 4.713302, 4.792747, 5.579818, 5.077912, 4.887223, 4.466477, 5.897016, 5.154543, 5.412806, 5.851220, 4.666516, 4.961981, 5.057587, 6.045451, 5.702259, 3.849082, 5.367357, 5.481650, 6.103879, 4.393911, 4.304435
