source,query_seconds,supersteps,total_msgs,total_vadd
131927,5.967341,26,11754421,0
141628,6.154192,26,11271170,0
24325,5.651860,27,11447600,0
14030,5.656955,25,10818817,0
113856,5.386754,25,10613897,0
77564,5.237261,24,10109557,0
3372,6.161927,28,12230912,0
77175,5.783886,25,11512715,0
84939,6.006854,28,11444768,0
139847,5.436523,27,11101814,0
158561,5.874688,30,11597657,0
32650,6.097849,27,11854966,0
141915,4.309417,22,8372759,0
82352,6.496219,29,13397658,0
161448,4.788335,26,9888720,0
67232,5.556743,26,11483380,0
91650,5.367251,25,10850111,0
12634,4.645020,23,9085115,0
164857,4.787636,25,9774202,0
86265,5.679959,25,11282671,0
109345,5.105760,23,10260752,0
87453,5.102839,25,10102580,0
57907,5.475382,26,10874118,0
6055,4.945154,22,9360108,0
83599,5.265688,27,10945171,0
134969,5.103014,25,10105199,0
84391,5.790570,26,11606093,0
65953,6.350190,28,12955084,0
41424,5.415672,25,10578098,0
38593,5.422874,27,10553234,0
113129,6.211779,28,12418898,0
15356,5.724510,24,10547195,0
112194,4.856928,24,9758899,0
37118,4.925698,25,9538565,0
140013,6.490817,30,12660078,0
87832,5.366290,25,10108258,0
29769,7.533633,27,13892472,0
160573,6.535736,28,12480116,0
70441,5.409934,25,10805040,0
137991,5.022742,25,10192052,0
41516,4.686819,26,9592816,0
14759,5.570196,26,10685870,0
21586,5.673773,25,11039981,0
91089,5.898377,25,11694248,0
36400,5.728142,26,11652607,0
39082,6.246089,29,12744770,0
146610,5.872414,26,11252134,0
1366,5.368131,25,10790662,0
118192,5.694277,26,11027317,0
25899,4.937120,25,9914565,0
6691,5.516886,27,11306519,0
82545,5.364693,27,10653381,0

average: 5.570361
median: 5.536815
p99: 7.024706

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 5.368131, 6.161927, 4.945154, 5.516886, 4.645020, 5.656955, 5.570196, 5.724510, 5.673773, 5.651860, 4.937120, 7.533633, 6.097849, 5.728142, 4.925698, 5.422874, 6.246089, 5.415672, 4.686819, 5.475382, 6.350190, 5.556743, 5.409934, 5.783886, 5.237261, 6.496219, 5.364693, 5.265688, 5.790570, 6.006854, 5.679959, 5.102839, 5.366290, 5.898377, 5.367251, 5.105760, 4.856928, 6.211779, 5.386754, 5.694277, 5.967341, 5.103014, 5.022742, 5.436523, 6.490817, 6.154192, 4.309417, 5.872414, 5.874688, 6.535736, 4.788335, 4.787636
