source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.085816,26,21058035,0
141628,2.820961,26,20202955,0
24325,2.670110,27,20554695,0
14030,2.617424,25,19301529,0
113856,2.585844,25,19077738,0
77564,2.502169,24,18127345,0
3372,3.130889,28,21874717,0
77175,2.744644,25,20567714,0
84939,2.868421,28,20453893,0
139847,2.618456,27,19865985,0
158561,2.817761,30,20751565,0
32650,2.982141,27,21118476,0
141915,2.043471,22,14885427,0
82352,3.156378,29,24056075,0
161448,2.262801,26,17537661,0
67232,2.856974,26,20581194,0
91650,2.555011,25,19576835,0
12634,2.137840,23,16255640,0
164857,2.297166,25,17417947,0
86265,2.751240,25,20266329,0
109345,2.441885,23,18417609,0
87453,2.408480,25,18057187,0
57907,2.565255,26,19455319,0
6055,2.253688,22,16750625,0
83599,2.586299,27,19709581,0
134969,2.397819,25,18180190,0
84391,2.757676,26,20769472,0
65953,2.957114,28,23113382,0
41424,2.523375,25,18843479,0
38593,2.579442,27,18835158,0
113129,3.051390,28,22218018,0
15356,2.529472,24,18868448,0
112194,2.295418,24,17328290,0
37118,2.285948,25,17033113,0
140013,3.160162,30,22604465,0
87832,2.462244,25,18022102,0
29769,3.498697,27,24965093,0
160573,2.996819,28,22114212,0
70441,2.609038,25,19513001,0
137991,2.477774,25,18311841,0
41516,2.270418,26,17138518,0
14759,2.624210,26,19001945,0
21586,2.691640,25,19685861,0
91089,2.909498,25,21006387,0
36400,2.779560,26,20973159,0
39082,2.918466,29,22805309,0
146610,2.745276,26,20202602,0
1366,2.592636,25,19456110,0
118192,2.737945,26,19687472,0
25899,2.313752,25,17652470,0
6691,2.699517,27,20238097,0
82545,2.557634,27,18955388,0

average: 2.657386
median: 2.617940
p99: 3.326044

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.592636, 3.130889, 2.253688, 2.699517, 2.137840, 2.617424, 2.624210, 2.529472, 2.691640, 2.670110, 2.313752, 3.498697, 2.982141, 2.779560, 2.285948, 2.579442, 2.918466, 2.523375, 2.270418, 2.565255, 2.957114, 2.856974, 2.609038, 2.744644, 2.502169, 3.156378, 2.557634, 2.586299, 2.757676, 2.868421, 2.751240, 2.408480, 2.462244, 2.909498, 2.555011, 2.441885, 2.295418, 3.051390, 2.585844, 2.737945, 3.085816, 2.397819, 2.477774, 2.618456, 3.160162, 2.820961, 2.043471, 2.745276, 2.817761, 2.996819, 2.262801, 2.297166
