source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.048671,26,21075103,0
141628,2.731541,26,20224404,0
24325,2.688671,27,20585118,0
14030,2.606526,25,19324564,0
113856,2.569435,25,19091046,0
77564,2.393962,24,18162453,0
3372,2.947284,28,21908581,0
77175,3.706639,25,20594700,0
84939,2.866698,28,20484876,0
139847,2.630942,27,19892088,0
158561,2.812983,30,20783977,0
32650,2.982715,27,21136099,0
141915,2.156271,22,14910169,0

average: 2.780180
median: 2.731541
p99: 3.627683

source nodes: 3372, 14030, 24325, 32650, 77175, 77564, 84939, 113856, 131927, 139847, 141628, 141915, 158561
individual times: 2.947284, 2.606526, 2.688671, 2.982715, 3.706639, 2.393962, 2.866698, 2.569435, 3.048671, 2.630942, 2.731541, 2.156271, 2.812983
