source,query_seconds,supersteps,total_msgs,total_vadd
131927,0.507320,9,2878626,0
141628,0.497040,8,2946891,0
24325,0.474491,8,2935349,0
14030,0.449861,8,2861105,0
113856,0.464602,8,2876185,0
77564,0.481097,8,2986874,0
3372,0.492717,9,2914951,0
77175,0.439822,8,2878654,0
84939,0.459565,9,2916439,0
131927,0.485991,9,2878626,0
141628,0.496486,8,2946891,0
24325,0.466805,8,2935349,0
14030,0.442049,8,2861105,0
113856,0.453673,8,2876185,0
77564,0.462981,8,2986874,0
3372,0.466345,9,2914951,0
77175,0.477653,8,2878654,0
84939,0.465201,9,2916439,0
