source,query_seconds,supersteps,total_msgs,total_vadd
131927,0.691710,9,2033251,0
141628,0.658342,8,2116526,0
24325,0.659779,8,2023172,0
14030,0.676932,8,2029249,0
113856,0.687062,8,2028803,0
77564,0.688538,8,2104627,0
3372,0.720190,9,2012902,0
77175,0.656709,8,2014623,0
84939,0.717067,9,2014141,0
131927,0.706813,9,2033251,0
141628,0.674815,8,2116526,0
24325,0.640630,8,2023172,0
14030,0.651520,8,2029249,0
113856,0.661717,8,2028803,0
77564,0.692699,8,2104627,0
3372,0.700400,9,2012902,0
77175,0.665487,8,2014623,0
84939,0.706175,9,2014141,0
