source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.352404,26,21015554,0
141628,3.006490,26,20129590,0
24325,2.965297,27,20503532,0
14030,2.861716,25,19260356,0
113856,2.859469,25,19012824,0
77564,2.668288,24,18102446,0
3372,3.534924,28,21802942,0
77175,3.025475,25,20504546,0
84939,3.090887,28,20403424,0

average: 3.040550
median: 3.006490
p99: 3.520322

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 3.534924, 2.861716, 2.965297, 3.025475, 2.668288, 3.090887, 2.859469, 3.352404, 3.006490
