source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.416087,26,21068925,0
141628,3.112671,26,20210842,0
24325,2.948636,27,20571483,0
14030,2.889169,25,19310643,0
113856,2.861947,25,19081948,0
77564,2.816286,24,18140694,0
3372,3.265862,28,21878673,0
77175,2.987677,25,20570325,0
84939,3.060285,28,20464365,0

average: 3.039847
median: 2.987677
p99: 3.404069

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 3.265862, 2.889169, 2.948636, 2.987677, 2.816286, 3.060285, 2.861947, 3.416087, 3.112671
