source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.343334,26,21058719,0
141628,2.959011,26,20195650,0
24325,2.970695,27,20549855,0
14030,2.857197,25,19303342,0
113856,2.799894,25,19064046,0
77564,2.648925,24,18131431,0
3372,3.262995,28,21866401,0
77175,3.020754,25,20553931,0
84939,3.045327,28,20451639,0

average: 2.989792
median: 2.970695
p99: 3.336907

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 3.262995, 2.857197, 2.970695, 3.020754, 2.648925, 3.045327, 2.799894, 3.343334, 2.959011
