source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.360258,26,21040872,0
141628,3.035833,26,20188932,0
24325,2.959815,27,20540587,0
14030,2.880730,25,19295568,0
113856,2.807991,25,19062043,0
77564,2.791943,24,18118639,0
3372,3.293720,28,21860333,0
77175,3.006289,25,20547452,0
84939,3.140004,28,20444857,0

average: 3.030731
median: 3.006289
p99: 3.354935

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 3.293720, 2.880730, 2.959815, 3.006289, 2.791943, 3.140004, 2.807991, 3.360258, 3.035833
