source,query_seconds,supersteps,total_msgs,total_vadd
131927,6.285483,26,14269920,0
141628,6.180120,26,13656679,0
24325,5.668536,27,13938872,0
14030,5.656757,25,13126291,0
113856,5.507621,25,12898144,0
77564,5.248763,24,12352424,0
3372,6.478622,28,14855967,0
77175,5.882052,25,13984594,0
84939,6.256254,28,13902470,0

average: 5.907134
median: 5.882052
p99: 6.463171

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 6.478622, 5.656757, 5.668536, 5.882052, 5.248763, 6.256254, 5.507621, 6.285483, 6.180120
