source,query_seconds,supersteps,total_msgs,total_vadd
131927,6.016957,26,11742266,0
141628,5.806637,26,11267245,0
24325,5.440359,27,11424889,0
14030,5.540447,25,10784552,0
113856,5.176820,25,10600131,0
77564,5.117474,24,10106342,0
3372,6.045584,28,12201575,0
77175,5.791079,25,11482871,0
84939,5.852775,28,11415857,0

average: 5.643126
median: 5.791079
p99: 6.043294

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 6.045584, 5.540447, 5.440359, 5.791079, 5.117474, 5.852775, 5.176820, 6.016957, 5.806637
