source,query_seconds,supersteps,total_msgs,total_vadd
131927,6.224697,26,11754421,0
141628,6.222835,26,11271170,0
24325,5.914800,27,11447600,0
14030,5.715847,25,10818817,0
113856,5.454342,25,10613897,0
77564,5.547305,24,10109557,0
3372,6.393851,28,12230912,0
77175,6.029367,25,11512715,0
84939,6.148165,28,11444768,0

average: 5.961245
median: 6.029367
p99: 6.380319

source nodes: 3372, 14030, 24325, 77175, 77564, 84939, 113856, 131927, 141628
individual times: 6.393851, 5.715847, 5.914800, 6.029367, 5.547305, 6.148165, 5.454342, 6.224697, 6.222835
