source,query_seconds,supersteps,total_msgs,total_vadd
131927,2.973330,26,19028450,0
141628,2.803021,26,18247095,0
24325,2.693893,27,18512975,0
14030,2.644048,25,17443199,0
113856,2.568108,25,17193909,0
77564,2.398895,24,16349048,0
3372,2.888523,28,19724587,0
77175,2.635187,25,18544821,0
84939,2.828738,28,18459057,0
139847,2.543695,27,17851443,0
158561,2.649648,30,18742104,0
32650,2.799378,27,19028448,0
141915,2.006989,22,13428677,0
82352,3.173495,29,21728508,0
161448,2.195880,26,15814517,0
67232,2.658746,26,18556778,0
91650,2.504296,25,17616099,0
12634,2.099048,23,14646826,0
164857,2.202470,25,15702885,0
86265,2.599995,25,18287888,0
109345,2.377006,23,16570108,0
87453,2.403454,25,16250430,0
57907,2.606457,26,17529113,0
6055,2.175528,22,15085104,0
83599,2.675175,27,17764542,0
134969,2.362957,25,16367153,0
84391,2.731378,26,18736078,0
65953,3.038998,28,20831731,0
41424,2.451654,25,16993509,0
38593,2.460092,27,16984502,0
113129,2.911509,28,20020576,0
15356,2.467127,24,17012924,0
112194,2.364713,24,15602213,0
37118,2.260181,25,15359342,0
140013,3.013046,30,20404457,0
87832,2.525093,25,16239397,0
29769,3.534307,27,22507320,0
160573,2.890086,28,19983678,0
70441,2.491985,25,17562148,0
137991,2.463064,25,16458922,0
41516,2.252467,26,15433800,0
14759,2.586281,26,17120338,0
21586,2.587190,25,17766122,0
91089,2.743117,25,18931223,0
36400,2.779283,26,18880052,0
39082,2.993821,29,20578243,0
146610,2.723015,26,18214956,0
1366,2.547663,25,17506757,0
118192,2.717285,26,17780043,0
25899,2.375007,25,15882710,0
6691,2.690066,27,18248910,0
82545,2.471329,27,17092423,0

average: 2.606495
median: 2.593592
p99: 3.350293

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.547663, 2.888523, 2.175528, 2.690066, 2.099048, 2.644048, 2.586281, 2.467127, 2.587190, 2.693893, 2.375007, 3.534307, 2.799378, 2.779283, 2.260181, 2.460092, 2.993821, 2.451654, 2.252467, 2.606457, 3.038998, 2.658746, 2.491985, 2.635187, 2.398895, 3.173495, 2.471329, 2.675175, 2.731378, 2.828738, 2.599995, 2.403454, 2.525093, 2.743117, 2.504296, 2.377006, 2.364713, 2.911509, 2.568108, 2.717285, 2.973330, 2.362957, 2.463064, 2.543695, 3.013046, 2.803021, 2.006989, 2.723015, 2.649648, 2.890086, 2.195880, 2.202470
