source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.089216,26,21068925,0
141628,2.769131,26,20210842,0
24325,2.740164,27,20571483,0
14030,2.675450,25,19310643,0
113856,2.627352,25,19081948,0
77564,2.457521,24,18140694,0
3372,3.016421,28,21878673,0
77175,2.782373,25,20570325,0
84939,2.858001,28,20464365,0
139847,2.617588,27,19875973,0
158561,2.759115,30,20760580,0
32650,2.923273,27,21129984,0
141915,1.989695,22,14892729,0
82352,3.239465,29,24071280,0
161448,2.281046,26,17546686,0
67232,2.790868,26,20588128,0
91650,2.635922,25,19585085,0
12634,2.209717,23,16263619,0
164857,2.250070,25,17423544,0
86265,2.689953,25,20268150,0
109345,2.459322,23,18428170,0
87453,2.459843,25,18047600,0
57907,2.589942,26,19462254,0
6055,2.221191,22,16765183,0
83599,2.584186,27,19719148,0
134969,2.428927,25,18196475,0
84391,2.875351,26,20779240,0
65953,3.055233,28,23120254,0
41424,2.511558,25,18854144,0
38593,2.523559,27,18842947,0
113129,3.037954,28,22229212,0
15356,2.527980,24,18882335,0
112194,3.010783,24,17335140,0
37118,2.354702,25,17045958,0
140013,3.077074,30,22616871,0
87832,2.441078,25,18035431,0
29769,3.602933,27,24986353,0
160573,3.128843,28,22126643,0
70441,2.564104,25,19524368,0
137991,2.506438,25,18311912,0
41516,2.278273,26,17150601,0
14759,2.636598,26,19013286,0
21586,2.658406,25,19709961,0
91089,2.856273,25,21021822,0
36400,2.760193,26,20990806,0
39082,2.953727,29,22828809,0
146610,2.715035,26,20222541,0
1366,2.550971,25,19466772,0
118192,2.821454,26,19704489,0
25899,2.369478,25,17666103,0
6691,2.759801,27,20245407,0
82545,2.556042,27,18975043,0

average: 2.678454
median: 2.647502
p99: 3.417564

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.550971, 3.016421, 2.221191, 2.759801, 2.209717, 2.675450, 2.636598, 2.527980, 2.658406, 2.740164, 2.369478, 3.602933, 2.923273, 2.760193, 2.354702, 2.523559, 2.953727, 2.511558, 2.278273, 2.589942, 3.055233, 2.790868, 2.564104, 2.782373, 2.457521, 3.239465, 2.556042, 2.584186, 2.875351, 2.858001, 2.689953, 2.459843, 2.441078, 2.856273, 2.635922, 2.459322, 3.010783, 3.037954, 2.627352, 2.821454, 3.089216, 2.428927, 2.506438, 2.617588, 3.077074, 2.769131, 1.989695, 2.715035, 2.759115, 3.128843, 2.281046, 2.250070
