source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.062929,26,21058036,0
141628,2.776288,26,20202952,0
24325,2.725889,27,20554690,0
14030,2.621788,25,19301529,0
113856,2.612792,25,19077739,0
77564,2.447256,24,18127345,0
3372,3.067269,28,21874724,0
77175,2.756350,25,20567717,0
84939,2.877843,28,20453893,0
139847,2.615827,27,19865981,0
158561,2.771694,30,20751565,0
32650,2.900733,27,21118481,0
141915,2.080293,22,14885428,0
82352,3.299362,29,24056072,0
161448,2.252334,26,17537661,0
67232,2.747319,26,20581196,0
91650,2.601039,25,19576829,0
12634,2.221083,23,16255637,0
164857,2.285915,25,17417948,0
86265,2.651938,25,20266332,0
109345,2.419359,23,18417607,0
87453,2.454601,25,18057189,0
57907,2.651355,26,19455317,0
6055,2.244373,22,16750625,0
83599,2.534644,27,19709580,0
134969,2.387478,25,18180189,0
84391,2.841725,26,20769474,0
65953,3.069121,28,23113389,0
41424,2.587607,25,18843477,0
38593,2.520002,27,18835155,0
113129,3.039961,28,22218018,0
15356,2.604444,24,18868445,0
112194,2.345697,24,17328287,0
37118,2.312491,25,17033111,0
140013,3.059221,30,22604466,0
87832,2.440945,25,18022102,0
29769,3.587554,27,24965094,0
160573,2.982987,28,22114211,0
70441,2.517947,25,19512995,0
137991,2.562487,25,18311841,0
41516,2.345263,26,17138515,0
14759,2.711617,26,19001940,0
21586,2.659620,25,19685859,0
91089,2.820422,25,21006387,0
36400,2.776658,26,20973157,0
39082,2.999973,29,22805311,0
146610,2.732670,26,20202601,0
1366,2.561370,25,19456104,0
118192,2.717049,26,19687474,0
25899,2.403984,25,17652471,0
6691,3.014057,27,20238096,0
82545,2.564826,27,18955389,0

average: 2.670143
median: 2.636572
p99: 3.440576

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.561370, 3.067269, 2.244373, 3.014057, 2.221083, 2.621788, 2.711617, 2.604444, 2.659620, 2.725889, 2.403984, 3.587554, 2.900733, 2.776658, 2.312491, 2.520002, 2.999973, 2.587607, 2.345263, 2.651355, 3.069121, 2.747319, 2.517947, 2.756350, 2.447256, 3.299362, 2.564826, 2.534644, 2.841725, 2.877843, 2.651938, 2.454601, 2.440945, 2.820422, 2.601039, 2.419359, 2.345697, 3.039961, 2.612792, 2.717049, 3.062929, 2.387478, 2.562487, 2.615827, 3.059221, 2.776288, 2.080293, 2.732670, 2.771694, 2.982987, 2.252334, 2.285915
