source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.048671,26,21075103,0
141628,2.731541,26,20224404,0
24325,2.688671,27,20585118,0
14030,2.606526,25,19324564,0
113856,2.569435,25,19091046,0
77564,2.393962,24,18162453,0
3372,2.947284,28,21908581,0
77175,3.706639,25,20594700,0
84939,2.866698,28,20484876,0
139847,2.630942,27,19892088,0
158561,2.812983,30,20783977,0
32650,2.982715,27,21136099,0
141915,2.156271,22,14910169,0
82352,3.207863,29,24094725,0
161448,2.214003,26,17549033,0
67232,2.700095,26,20604198,0
91650,2.596258,25,19598807,0
12634,2.224580,23,16280984,0
164857,2.249972,25,17442475,0
86265,2.660344,25,20279721,0
109345,2.411797,23,18441691,0
87453,2.432704,25,18064184,0
57907,2.686842,26,19482381,0
6055,2.266833,22,16767150,0
83599,2.582897,27,19727462,0
134969,2.445906,25,18201008,0
84391,2.777594,26,20795586,0
65953,3.020329,28,23130516,0
41424,2.460134,25,18864383,0
38593,2.526356,27,18849728,0
113129,2.992894,28,22237000,0
15356,2.603778,24,18885701,0
112194,2.322087,24,17341165,0
37118,2.346113,25,17049437,0
140013,3.086397,30,22625328,0
87832,2.514719,25,18041699,0
29769,3.644183,27,24999723,0
160573,2.941814,28,22147098,0
70441,2.581822,25,19536215,0
137991,2.455954,25,18323860,0
41516,2.316558,26,17160260,0
14759,2.607856,26,19023019,0
21586,2.621643,25,19710825,0
91089,2.813400,25,21036315,0
36400,2.758358,26,20991676,0
39082,3.044546,29,22826638,0
146610,2.718415,26,20226526,0
1366,2.600098,25,19482819,0
118192,2.675526,26,19709026,0
25899,2.358437,25,17671331,0
6691,2.700646,27,20254266,0
82545,2.510520,27,18982896,0

average: 2.669666
median: 2.614750
p99: 3.674786

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.600098, 2.947284, 2.266833, 2.700646, 2.224580, 2.606526, 2.607856, 2.603778, 2.621643, 2.688671, 2.358437, 3.644183, 2.982715, 2.758358, 2.346113, 2.526356, 3.044546, 2.460134, 2.316558, 2.686842, 3.020329, 2.700095, 2.581822, 3.706639, 2.393962, 3.207863, 2.510520, 2.582897, 2.777594, 2.866698, 2.660344, 2.432704, 2.514719, 2.813400, 2.596258, 2.411797, 2.322087, 2.992894, 2.569435, 2.675526, 3.048671, 2.445906, 2.455954, 2.630942, 3.086397, 2.731541, 2.156271, 2.718415, 2.812983, 2.941814, 2.214003, 2.249972
