source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.067277,26,21075103,0
141628,2.879958,26,20224404,0
24325,2.717225,27,20585118,0
14030,2.655808,25,19324564,0
113856,2.589085,25,19091046,0
77564,2.437360,24,18162453,0
3372,2.962188,28,21908581,0
77175,2.810605,25,20594700,0
84939,2.880062,28,20484876,0
139847,2.613968,27,19892088,0
158561,2.702921,30,20783977,0
32650,2.841664,27,21136099,0
141915,1.979913,22,14910169,0
82352,3.247117,29,24094725,0
161448,2.243579,26,17549033,0
67232,2.732010,26,20604198,0
91650,2.589363,25,19598807,0
12634,2.122216,23,16280984,0
164857,2.242591,25,17442475,0
86265,2.631857,25,20279721,0
109345,2.404340,23,18441691,0
87453,2.439878,25,18064184,0
57907,2.605453,26,19482381,0
6055,2.231472,22,16767150,0
83599,2.648541,27,19727462,0
134969,2.377918,25,18201008,0
84391,2.750653,26,20795586,0
65953,2.944047,28,23130516,0
41424,2.486993,25,18864383,0
38593,2.502335,27,18849728,0
113129,2.928164,28,22237000,0
15356,2.513386,24,18885701,0
112194,2.304439,24,17341165,0
37118,2.306301,25,17049437,0
140013,3.015708,30,22625328,0
87832,2.472730,25,18041699,0
29769,3.522628,27,24999723,0
160573,2.927218,28,22147098,0
70441,2.498854,25,19536215,0
137991,2.430383,25,18323860,0
41516,2.261889,26,17160260,0
14759,2.584580,26,19023019,0
21586,2.642328,25,19710825,0
91089,2.810333,25,21036315,0
36400,2.725808,26,20991676,0
39082,2.908060,29,22826638,0
146610,2.823981,26,20226526,0
1366,2.542012,25,19482819,0
118192,2.639398,26,19709026,0
25899,2.315499,25,17671331,0
6691,2.658751,27,20254266,0
82545,2.491499,27,18982896,0

average: 2.628122
median: 2.622912
p99: 3.382117

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.542012, 2.962188, 2.231472, 2.658751, 2.122216, 2.655808, 2.584580, 2.513386, 2.642328, 2.717225, 2.315499, 3.522628, 2.841664, 2.725808, 2.306301, 2.502335, 2.908060, 2.486993, 2.261889, 2.605453, 2.944047, 2.732010, 2.498854, 2.810605, 2.437360, 3.247117, 2.491499, 2.648541, 2.750653, 2.880062, 2.631857, 2.439878, 2.472730, 2.810333, 2.589363, 2.404340, 2.304439, 2.928164, 2.589085, 2.639398, 3.067277, 2.377918, 2.430383, 2.613968, 3.015708, 2.879958, 1.979913, 2.823981, 2.702921, 2.927218, 2.243579, 2.242591
