source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.055327,26,21040872,0
141628,2.722450,26,20188932,0
24325,2.726810,27,20540587,0
14030,2.560127,25,19295568,0
113856,2.543116,25,19062043,0
77564,2.416262,24,18118639,0
3372,2.937612,28,21860333,0
77175,2.706718,25,20547452,0
84939,2.759128,28,20444857,0
139847,2.672524,27,19856602,0
158561,2.691446,30,20742392,0
32650,2.874388,27,21094292,0
141915,1.999874,22,14888841,0
82352,3.216322,29,24030808,0
161448,2.261923,26,17523601,0
67232,2.655322,26,20568051,0
91650,2.534757,25,19565337,0
12634,2.164136,23,16248516,0
164857,2.287654,25,17407767,0
86265,2.682876,25,20251299,0
109345,2.383498,23,18413464,0
87453,2.392202,25,18026121,0
57907,2.563330,26,19435027,0
6055,2.297790,22,16728621,0
83599,2.589350,27,19703133,0
134969,2.420473,25,18165735,0
84391,2.750441,26,20752955,0
65953,3.053758,28,23085962,0
41424,2.451535,25,18838316,0
38593,2.463754,27,18819265,0
113129,2.912795,28,22207886,0
15356,2.507994,24,18861358,0
112194,2.338059,24,17322584,0
37118,2.302519,25,17025405,0
140013,3.374657,30,22588901,0
87832,2.447336,25,18021118,0
29769,3.546258,27,24953947,0
160573,2.966609,28,22097531,0
70441,2.513021,25,19498399,0
137991,2.452163,25,18293520,0
41516,2.238992,26,17128524,0
14759,2.539777,26,18994963,0
21586,2.679200,25,19689178,0
91089,2.848720,25,21003783,0
36400,2.753715,26,20954552,0
39082,2.980982,29,22796131,0
146610,2.671113,26,20187450,0
1366,2.604871,25,19447335,0
118192,2.670666,26,19689595,0
25899,2.381562,25,17638059,0
6691,2.628253,27,20226156,0
82545,2.471817,27,18955828,0

average: 2.628192
median: 2.597111
p99: 3.458741

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.604871, 2.937612, 2.297790, 2.628253, 2.164136, 2.560127, 2.539777, 2.507994, 2.679200, 2.726810, 2.381562, 3.546258, 2.874388, 2.753715, 2.302519, 2.463754, 2.980982, 2.451535, 2.238992, 2.563330, 3.053758, 2.655322, 2.513021, 2.706718, 2.416262, 3.216322, 2.471817, 2.589350, 2.750441, 2.759128, 2.682876, 2.392202, 2.447336, 2.848720, 2.534757, 2.383498, 2.338059, 2.912795, 2.543116, 2.670666, 3.055327, 2.420473, 2.452163, 2.672524, 3.374657, 2.722450, 1.999874, 2.671113, 2.691446, 2.966609, 2.261923, 2.287654
