source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.062510,26,21015554,0
141628,2.777818,26,20129590,0
24325,2.689747,27,20503532,0
14030,2.586210,25,19260356,0
113856,2.629173,25,19012824,0
77564,2.429204,24,18102446,0
3372,2.939188,28,21802942,0
77175,2.770663,25,20504546,0
84939,2.761797,28,20403424,0
139847,2.549422,27,19810747,0
158561,2.701830,30,20700591,0
32650,2.921145,27,21054569,0
141915,2.047350,22,14848522,0
82352,3.284856,29,23989270,0
161448,2.251727,26,17491773,0
67232,2.706940,26,20540369,0
91650,2.604402,25,19507845,0
12634,2.219363,23,16217450,0
164857,2.274945,25,17384812,0
86265,2.722575,25,20224622,0
109345,2.434215,23,18358747,0
87453,2.403164,25,17985396,0
57907,2.654120,26,19387401,0
6055,2.281319,22,16695864,0
83599,2.673760,27,19644978,0
134969,2.535328,25,18131375,0
84391,2.748156,26,20725129,0
65953,2.986456,28,23017381,0
41424,2.538906,25,18809458,0
38593,2.528563,27,18777262,0
113129,2.986644,28,22134652,0
15356,2.510797,24,18830649,0
112194,2.292247,24,17290234,0
37118,2.312298,25,16993944,0
140013,3.057163,30,22558609,0
87832,2.516633,25,17985543,0
29769,3.572231,27,24907455,0
160573,3.020400,28,22058922,0
70441,2.553465,25,19454829,0
137991,2.495462,25,18259789,0
41516,2.336092,26,17078890,0
14759,2.687922,26,18943791,0
21586,2.680384,25,19637253,0
91089,2.851469,25,20949146,0
36400,2.761501,26,20905292,0
39082,2.974233,29,22753531,0
146610,2.789852,26,20163074,0
1366,2.582172,25,19399520,0
118192,2.696202,26,19637419,0
25899,2.372262,25,17613781,0
6691,2.703535,27,20198304,0
82545,2.627017,27,18902645,0

average: 2.655670
median: 2.663940
p99: 3.425670

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.582172, 2.939188, 2.281319, 2.703535, 2.219363, 2.586210, 2.687922, 2.510797, 2.680384, 2.689747, 2.372262, 3.572231, 2.921145, 2.761501, 2.312298, 2.528563, 2.974233, 2.538906, 2.336092, 2.654120, 2.986456, 2.706940, 2.553465, 2.770663, 2.429204, 3.284856, 2.627017, 2.673760, 2.748156, 2.761797, 2.722575, 2.403164, 2.516633, 2.851469, 2.604402, 2.434215, 2.292247, 2.986644, 2.629173, 2.696202, 3.062510, 2.535328, 2.495462, 2.549422, 3.057163, 2.777818, 2.047350, 2.789852, 2.701830, 3.020400, 2.251727, 2.274945
