source,query_seconds,supersteps,total_msgs,total_vadd
131927,5.813645,26,14269920,0
141628,5.578175,26,13656679,0
24325,5.220535,27,13938872,0
14030,5.147518,25,13126291,0
113856,5.128564,25,12898144,0
77564,4.796019,24,12352424,0
3372,5.835947,28,14855967,0
77175,5.408582,25,13984594,0
84939,5.623913,28,13902470,0
139847,5.023304,27,13506286,0
158561,5.377036,30,14130115,0
32650,5.602079,27,14381163,0
141915,3.886803,22,10212940,0
82352,6.139572,29,16252814,0
161448,4.475296,26,11985031,0
67232,5.264387,26,13953903,0
91650,5.064632,25,13239357,0
12634,4.254635,23,11051690,0
164857,4.383184,25,11930554,0
86265,5.304248,25,13680403,0
109345,4.772591,23,12477571,0
87453,4.742813,25,12326132,0
57907,5.141217,26,13247497,0
6055,4.490020,22,11417409,0
83599,4.945170,27,13310953,0
134969,4.734827,25,12281155,0
84391,5.461237,26,14083138,0
65953,5.992373,28,15716372,0
41424,5.046266,25,12872602,0
38593,4.978425,27,12782453,0
113129,5.819866,28,15132408,0
15356,5.143259,24,12838493,0
112194,4.504223,24,11888230,0
37118,4.518156,25,11609035,0
140013,5.901653,30,15379530,0
87832,4.916652,25,12296490,0
29769,7.033251,27,16833719,0
160573,6.037727,28,15127219,0
70441,5.059110,25,13197734,0
137991,4.801634,25,12451909,0
41516,4.411062,26,11690316,0
14759,5.156053,26,12985507,0
21586,5.251069,25,13419691,0
91089,5.587388,25,14218406,0
36400,5.436651,26,14149246,0
39082,5.938450,29,15429708,0
146610,5.465605,26,13659443,0
1366,5.068246,25,13180717,0
118192,5.298696,26,13372162,0
25899,4.622307,25,12092308,0
6691,5.231205,27,13746424,0
82545,4.939707,27,12962439,0

average: 5.187980
median: 5.145388
p99: 6.577475

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 5.068246, 5.835947, 4.490020, 5.231205, 4.254635, 5.147518, 5.156053, 5.143259, 5.251069, 5.220535, 4.622307, 7.033251, 5.602079, 5.436651, 4.518156, 4.978425, 5.938450, 5.046266, 4.411062, 5.141217, 5.992373, 5.264387, 5.059110, 5.408582, 4.796019, 6.139572, 4.939707, 4.945170, 5.461237, 5.623913, 5.304248, 4.742813, 4.916652, 5.587388, 5.064632, 4.772591, 4.504223, 5.819866, 5.128564, 5.298696, 5.813645, 4.734827, 4.801634, 5.023304, 5.901653, 5.578175, 3.886803, 5.465605, 5.377036, 6.037727, 4.475296, 4.383184
