source,query_seconds,supersteps,total_msgs,total_vadd
131927,6.009791,26,11754421,0
141628,6.065356,26,11271170,0
24325,5.699688,27,11447600,0
14030,5.682399,25,10818817,0
113856,5.446513,25,10613897,0
77564,5.244303,24,10109557,0
3372,6.346122,28,12230912,0
77175,5.896065,25,11512715,0
84939,6.091126,28,11444768,0
139847,5.389031,27,11101814,0
158561,5.774102,30,11597657,0
32650,6.029229,27,11854966,0
141915,4.340969,22,8372759,0
82352,6.530526,29,13397658,0
161448,4.844680,26,9888720,0
67232,5.562958,26,11483380,0
91650,5.402282,25,10850111,0
12634,4.685927,23,9085115,0
164857,4.888329,25,9774202,0
86265,5.756102,25,11282671,0
109345,5.176143,23,10260752,0
87453,5.169180,25,10102580,0
57907,5.535950,26,10874118,0
6055,4.959078,22,9360108,0
83599,5.390738,27,10945171,0
134969,5.112114,25,10105199,0
84391,5.860985,26,11606093,0
65953,6.425889,28,12955084,0
41424,5.462653,25,10578098,0
38593,5.481665,27,10553234,0
113129,6.275719,28,12418898,0
15356,5.673172,24,10547195,0
112194,5.056082,24,9758899,0
37118,4.961087,25,9538565,0
140013,6.598893,30,12660078,0
87832,5.450419,25,10108258,0
29769,7.610513,27,13892472,0
160573,6.596384,28,12480116,0
70441,5.490270,25,10805040,0
137991,5.026303,25,10192052,0
41516,4.704932,26,9592816,0
14759,5.592116,26,10685870,0
21586,5.702322,25,11039981,0
91089,5.963981,25,11694248,0
36400,5.801855,26,11652607,0
39082,6.307014,29,12744770,0
146610,5.923969,26,11252134,0
1366,5.428090,25,10790662,0
118192,5.708169,26,11027317,0
25899,4.972000,25,9914565,0
6691,5.571648,27,11306519,0
82545,5.415823,27,10653381,0

average: 5.617128
median: 5.567303
p99: 7.094587

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 5.428090, 6.346122, 4.959078, 5.571648, 4.685927, 5.682399, 5.592116, 5.673172, 5.702322, 5.699688, 4.972000, 7.610513, 6.029229, 5.801855, 4.961087, 5.481665, 6.307014, 5.462653, 4.704932, 5.535950, 6.425889, 5.562958, 5.490270, 5.896065, 5.244303, 6.530526, 5.415823, 5.390738, 5.860985, 6.091126, 5.756102, 5.169180, 5.450419, 5.963981, 5.402282, 5.176143, 5.056082, 6.275719, 5.446513, 5.708169, 6.009791, 5.112114, 5.026303, 5.389031, 6.598893, 6.065356, 4.340969, 5.923969, 5.774102, 6.596384, 4.844680, 4.888329
