source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.039758,26,21075103,0
141628,2.683938,26,20224404,0
24325,2.595734,27,20585118,0
14030,2.621014,25,19324564,0
113856,2.571742,25,19091046,0
77564,2.375817,24,18162453,0
3372,2.889891,28,21908581,0
77175,2.707328,25,20594700,0
84939,2.734213,28,20484876,0
139847,2.594973,27,19892088,0
158561,2.684138,30,20783977,0
32650,2.829541,27,21136099,0
141915,1.948448,22,14910169,0
82352,3.111977,29,24094725,0
161448,2.162164,26,17549033,0
67232,2.693471,26,20604198,0
91650,2.598829,25,19598807,0
12634,2.121665,23,16280984,0
164857,2.259277,25,17442475,0
86265,2.639750,25,20279721,0
109345,2.396373,23,18441691,0
87453,2.390074,25,18064184,0
57907,2.584025,26,19482381,0
6055,2.213860,22,16767150,0
83599,2.550222,27,19727462,0
134969,2.536014,25,18201008,0
84391,2.712277,26,20795586,0
65953,3.909199,28,23130516,0
41424,4.307351,25,18864383,0
38593,4.209210,27,18849728,0
113129,2.932876,28,22237000,0
15356,2.492340,24,18885701,0
112194,2.289915,24,17341165,0
37118,2.288211,25,17049437,0
140013,3.082406,30,22625328,0
87832,2.427614,25,18041699,0
29769,3.490136,27,24999723,0
160573,2.890262,28,22147098,0
70441,2.513051,25,19536215,0
137991,2.416410,25,18323860,0
41516,2.252792,26,17160260,0
14759,2.568800,26,19023019,0
21586,2.600566,25,19710825,0
91089,2.780268,25,21036315,0
36400,2.672629,26,20991676,0
39082,2.923198,29,22826638,0
146610,2.680316,26,20226526,0
1366,2.508878,25,19482819,0
118192,2.641690,26,19709026,0
25899,2.336315,25,17671331,0
6691,2.641591,27,20254266,0
82545,2.483136,27,18982896,0

average: 2.684340
median: 2.599697
p99: 4.257299

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.508878, 2.889891, 2.213860, 2.641591, 2.121665, 2.621014, 2.568800, 2.492340, 2.600566, 2.595734, 2.336315, 3.490136, 2.829541, 2.672629, 2.288211, 4.209210, 2.923198, 4.307351, 2.252792, 2.584025, 3.909199, 2.693471, 2.513051, 2.707328, 2.375817, 3.111977, 2.483136, 2.550222, 2.712277, 2.734213, 2.639750, 2.390074, 2.427614, 2.780268, 2.598829, 2.396373, 2.289915, 2.932876, 2.571742, 2.641690, 3.039758, 2.536014, 2.416410, 2.594973, 3.082406, 2.683938, 1.948448, 2.680316, 2.684138, 2.890262, 2.162164, 2.259277
