source,query_seconds,supersteps,total_msgs,total_vadd
131927,3.079333,26,21081783,0
141628,2.803366,26,20217214,0
24325,2.645413,27,20593206,0
14030,2.574202,25,19330157,0
113856,2.488908,25,19093636,0
77564,2.375724,24,18151873,0
3372,2.908751,28,21903863,0
77175,2.705178,25,20594318,0
84939,2.765777,28,20473108,0
139847,2.586463,27,19890078,0
158561,2.697234,30,20770699,0
32650,2.821721,27,21133556,0
141915,2.005735,22,14891160,0
82352,3.145403,29,24090575,0
161448,2.249651,26,17554981,0
67232,2.664123,26,20601357,0
91650,2.567187,25,19601437,0
12634,2.134824,23,16268395,0
164857,2.308255,25,17432309,0
86265,2.676282,25,20273514,0
109345,2.418297,23,18441587,0
87453,2.408327,25,18067077,0
57907,2.563504,26,19486505,0
6055,2.215057,22,16766343,0
83599,2.529395,27,19728566,0
134969,2.383923,25,18205113,0
84391,2.707193,26,20789818,0
65953,2.969382,28,23121366,0
41424,2.475385,25,18865798,0
38593,2.460218,27,18852734,0
113129,2.918895,28,22242092,0
15356,2.498156,24,18885268,0
112194,2.311946,24,17337439,0
37118,2.291329,25,17044411,0
140013,3.011836,30,22618542,0
87832,2.429782,25,18046024,0
29769,3.468666,27,25004980,0
160573,2.917796,28,22147705,0
70441,2.497952,25,19533327,0
137991,2.387493,25,18331001,0
41516,2.238030,26,17155335,0
14759,2.598091,26,19023831,0
21586,2.598267,25,19716466,0
91089,2.776549,25,21028108,0
36400,2.683740,26,20996072,0
39082,2.937760,29,22823969,0
146610,2.652031,26,20224757,0
1366,2.527983,25,19483401,0
118192,2.618739,26,19712290,0
25899,2.297916,25,17675890,0
6691,2.645630,27,20252119,0
82545,2.475051,27,18980214,0

average: 2.598420
median: 2.580332
p99: 3.303802

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.527983, 2.908751, 2.215057, 2.645630, 2.134824, 2.574202, 2.598091, 2.498156, 2.598267, 2.645413, 2.297916, 3.468666, 2.821721, 2.683740, 2.291329, 2.460218, 2.937760, 2.475385, 2.238030, 2.563504, 2.969382, 2.664123, 2.497952, 2.705178, 2.375724, 3.145403, 2.475051, 2.529395, 2.707193, 2.765777, 2.676282, 2.408327, 2.429782, 2.776549, 2.567187, 2.418297, 2.311946, 2.918895, 2.488908, 2.618739, 3.079333, 2.383923, 2.387493, 2.586463, 3.011836, 2.803366, 2.005735, 2.652031, 2.697234, 2.917796, 2.249651, 2.308255
