source,query_seconds,supersteps,total_msgs,total_vadd
131927,2.541048,26,42760421,0
141628,2.572132,29,40544157,0
24325,2.705698,28,40189303,0
14030,2.311044,25,38579845,0
113856,2.269608,25,38071634,0
77564,2.191079,24,35930708,0
3372,2.605379,28,43727037,0
77175,2.372678,25,40620189,0
84939,2.519159,28,40868004,0
139847,2.397064,27,38951481,0
158561,2.585149,30,40559789,0
32650,2.569803,27,42032994,0
141915,1.880310,22,28964185,0
82352,2.778736,30,47654741,0
161448,2.280868,27,33661312,0
67232,2.370767,26,40657826,0
91650,2.372786,25,38399166,0
12634,1.983781,23,31832382,0
164857,2.097586,25,33831858,0
86265,2.290678,25,40158797,0
109345,2.175172,24,36450735,0
87453,2.279270,25,35669857,0
57907,2.374760,26,38682676,0
6055,2.025288,22,33243847,0
83599,2.363071,27,38596176,0
134969,2.207217,25,36118633,0
84391,2.462290,26,41225774,0
65953,2.578454,28,45253207,0
41424,2.363213,27,37387305,0
38593,2.302287,27,37240019,0
113129,2.586964,28,43903435,0
15356,2.259328,24,37569930,0
112194,2.049659,24,34097848,0
37118,2.151447,25,33870791,0
140013,2.713550,30,45141830,0
87832,2.223735,25,35924854,0
29769,2.720359,27,51548645,0
160573,2.620323,28,43935250,0
70441,2.213839,25,38226180,0
137991,2.348365,28,36257268,0
41516,2.323755,26,33614811,0
14759,2.386605,26,38291648,0
21586,2.319483,25,39340878,0
91089,2.402817,25,42058653,0
36400,2.406451,26,41294560,0
39082,2.703100,30,44823533,0
146610,2.344467,26,40593492,0
1366,2.314399,25,38189449,0
118192,2.386412,26,39369014,0
25899,2.263326,26,34737265,0
6691,2.419140,27,39998077,0
82545,2.386484,27,37301281,0

average: 2.372507
median: 2.366990
p99: 2.748964

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.314399, 2.605379, 2.025288, 2.419140, 1.983781, 2.311044, 2.386605, 2.259328, 2.319483, 2.705698, 2.263326, 2.720359, 2.569803, 2.406451, 2.151447, 2.302287, 2.703100, 2.363213, 2.323755, 2.374760, 2.578454, 2.370767, 2.213839, 2.372678, 2.191079, 2.778736, 2.386484, 2.363071, 2.462290, 2.519159, 2.290678, 2.279270, 2.223735, 2.402817, 2.372786, 2.175172, 2.049659, 2.586964, 2.269608, 2.386412, 2.541048, 2.207217, 2.348365, 2.397064, 2.713550, 2.572132, 1.880310, 2.344467, 2.585149, 2.620323, 2.280868, 2.097586
