source,query_seconds,supersteps,total_msgs,total_vadd
131927,2.481134,26,42935836,0
141628,2.529491,29,40745651,0
24325,2.376698,28,40369516,0
14030,2.219589,25,38742912,0
113856,2.194740,25,38263327,0
77564,2.118576,24,36086515,0
3372,2.520113,28,43969147,0
77175,2.259139,25,40820320,0
84939,3.738835,28,41071012,0
139847,2.341300,27,39153298,0
158561,2.509705,30,40708183,0
32650,2.427975,27,42245895,0
141915,1.762605,22,29049852,0
82352,2.688176,30,47916702,0
161448,2.161452,27,33791751,0
67232,2.359301,26,40822387,0
91650,2.320167,25,38601494,0
12634,1.954195,23,31965177,0
164857,2.061913,25,33965543,0
86265,2.230195,25,40326932,0
109345,2.144718,24,36615186,0
87453,2.107548,25,35814702,0
57907,2.251032,26,38863282,0
6055,1.928044,22,33365866,0
83599,3.339771,27,38780112,0
134969,2.163409,25,36297479,0
84391,2.334575,26,41397985,0
65953,2.539639,28,45458148,0
41424,2.289446,27,37534710,0
38593,2.286105,27,37421788,0
113129,2.546015,28,44119737,0
15356,2.187217,24,37722037,0
112194,2.038103,24,34232513,0
37118,2.371234,25,34005181,0
140013,2.615361,30,45340345,0
87832,2.136627,25,36095923,0
29769,2.702987,27,51820262,0
160573,2.980612,28,44140765,0
70441,2.460444,25,38414120,0
137991,2.306456,28,36431029,0
41516,2.105264,26,33767772,0
14759,2.271379,26,38455800,0
21586,2.219707,25,39530683,0
91089,2.454383,25,42247675,0
36400,2.461042,26,41509958,0
39082,2.593304,30,45049779,0
146610,2.280527,26,40769429,0
1366,2.210810,25,38383277,0
118192,2.278464,26,39545331,0
25899,2.177039,26,34906623,0
6691,2.311868,27,40167451,0
82545,2.234833,27,37477325,0

average: 2.357370
median: 2.287775
p99: 3.535312

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 134969, 137991, 139847, 140013, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.210810, 2.520113, 1.928044, 2.311868, 1.954195, 2.219589, 2.271379, 2.187217, 2.219707, 2.376698, 2.177039, 2.702987, 2.427975, 2.461042, 2.371234, 2.286105, 2.593304, 2.289446, 2.105264, 2.251032, 2.539639, 2.359301, 2.460444, 2.259139, 2.118576, 2.688176, 2.234833, 3.339771, 2.334575, 3.738835, 2.230195, 2.107548, 2.136627, 2.454383, 2.320167, 2.144718, 2.038103, 2.546015, 2.194740, 2.278464, 2.481134, 2.163409, 2.306456, 2.341300, 2.615361, 2.529491, 1.762605, 2.280527, 2.509705, 2.980612, 2.161452, 2.061913
