source,query_seconds,supersteps,total_msgs,total_vadd
131927,0.645538,9,5032292,0
141628,0.578081,8,5163812,0
131927,2.883050,26,36274814,0
141628,3.204788,29,34541892,0
24325,2.838472,28,34230215,0
14030,2.780833,25,32815219,0
113856,2.617483,25,32445752,0
77564,2.484641,24,30506005,0
3372,3.045750,28,37167409,0
77175,2.717031,25,34582763,0
84939,2.916870,28,34746093,0
139847,2.654204,27,33177897,0
158561,2.890158,30,34592507,0
32650,2.768844,27,35725174,0
141915,2.115570,22,24710949,0
82352,3.113154,30,40550377,0
161448,2.554860,27,28798277,0
67232,2.629960,26,34584465,0
91650,2.566273,25,32676234,0
12634,2.292298,23,27135322,0
164857,2.418732,25,28881449,0
86265,2.602176,25,34156791,0
109345,2.427120,24,31023875,0
87453,2.502497,25,30376199,0
57907,2.694078,26,32903811,0
6055,2.211555,22,28263823,0
83599,2.634222,27,32954738,0
134969,2.546298,25,30655443,0
84391,2.769344,26,35037289,0
65953,2.965608,28,38641058,0
41424,2.723525,27,31803050,0
38593,2.560917,27,31722774,0
113129,2.870427,28,37410432,0
15356,2.551646,24,31918613,0
112194,2.305328,24,29067265,0
37118,2.420730,25,28818386,0
140013,3.093363,30,38338766,0
87832,2.990820,25,30567066,0
29769,3.230070,27,43573360,0
160573,3.037358,28,37489605,0
70441,2.550541,25,32497813,0
137991,2.658261,28,30858740,0
41516,2.551628,26,28696002,0
14759,2.820355,26,32559404,0
21586,2.556751,25,33441265,0
91089,2.780595,25,35765200,0
36400,2.656393,26,35227773,0
39082,3.132230,30,38204350,0
146610,2.660759,26,34394212,0
1366,2.515044,25,32482275,0
118192,2.762930,26,33446771,0
25899,2.451940,26,29549554,0
6691,2.709852,27,33993920,0
82545,2.610773,27,31757785,0

average: 2.616143
median: 2.655298
p99: 3.216671

source nodes: 1366, 3372, 6055, 6691, 12634, 14030, 14759, 15356, 21586, 24325, 25899, 29769, 32650, 36400, 37118, 38593, 39082, 41424, 41516, 57907, 65953, 67232, 70441, 77175, 77564, 82352, 82545, 83599, 84391, 84939, 86265, 87453, 87832, 91089, 91650, 109345, 112194, 113129, 113856, 118192, 131927, 131927, 134969, 137991, 139847, 140013, 141628, 141628, 141915, 146610, 158561, 160573, 161448, 164857
individual times: 2.515044, 3.045750, 2.211555, 2.709852, 2.292298, 2.780833, 2.820355, 2.551646, 2.556751, 2.838472, 2.451940, 3.230070, 2.768844, 2.656393, 2.420730, 2.560917, 3.132230, 2.723525, 2.551628, 2.694078, 2.965608, 2.629960, 2.550541, 2.717031, 2.484641, 3.113154, 2.610773, 2.634222, 2.769344, 2.916870, 2.602176, 2.502497, 2.990820, 2.780595, 2.566273, 2.427120, 2.305328, 2.870427, 2.617483, 2.762930, 0.645538, 2.883050, 2.546298, 2.658261, 2.654204, 3.093363, 0.578081, 3.204788, 2.115570, 2.660759, 2.890158, 3.037358, 2.554860, 2.418732
