source,superstep,worker,start_time,end_time,duration,active_vertices
77564,1,0,0.003375,0.003771,0.000396,10508
77564,1,1,0.174427,0.174704,0.000276,10508
77564,1,2,0.209089,0.209388,0.000299,10507
77564,1,3,0.196730,0.197014,0.000283,10507
77564,1,4,0.222009,0.222297,0.000288,10507
77564,1,5,0.218626,0.218916,0.000290,10507
77564,1,6,0.208360,0.208663,0.000303,10507
77564,1,7,0.213797,0.214091,0.000293,10507
77564,1,8,0.214260,0.214517,0.000258,10507
77564,1,9,0.214684,0.214930,0.000246,10507
77564,1,10,0.226079,0.226341,0.000263,10507
77564,1,11,0.234287,0.234529,0.000242,10507
77564,1,12,0.229484,0.229755,0.000271,10507
77564,1,13,0.216969,0.217280,0.000310,10507
77564,1,14,0.222195,0.222449,0.000254,10507
77564,1,15,0.211053,0.211637,0.000584,10507
77564,2,0,0.015578,0.020867,0.005289,2
77564,2,1,0.186644,0.199595,0.012951,6
77564,2,2,0.221387,0.226487,0.005101,5
77564,2,3,0.209055,0.213663,0.004608,6
77564,2,4,0.234328,0.243409,0.009081,7
77564,2,5,0.230904,0.248669,0.017765,4
77564,2,6,0.220635,0.226593,0.005958,5
77564,2,7,0.226102,0.231622,0.005520,8
77564,2,8,0.226715,0.228305,0.001590,2
77564,2,9,0.227143,0.229754,0.002611,7
77564,2,10,0.238394,0.249624,0.011231,9
77564,2,11,0.246622,0.249351,0.002728,2
77564,2,12,0.241774,0.251043,0.009269,6
77564,2,13,0.229150,0.242130,0.012980,5
77564,2,14,0.234411,0.245483,0.011072,9
77564,2,15,0.223119,0.237051,0.013931,8
77564,3,0,0.055320,0.288096,0.232776,5897
77564,3,1,0.226446,0.411592,0.185146,5780
77564,3,2,0.261072,0.459153,0.198081,5905
77564,3,3,0.248748,0.448935,0.200187,5910
77564,3,4,0.273888,0.465120,0.191233,5791
77564,3,5,0.270456,0.471041,0.200586,5898
77564,3,6,0.260314,0.471001,0.210687,5911
77564,3,7,0.265721,0.464929,0.199208,5850
77564,3,8,0.266281,0.471640,0.205358,5840
77564,3,9,0.266442,0.447940,0.181499,5805
77564,3,10,0.277895,0.465636,0.187741,5819
77564,3,11,0.286070,0.468501,0.182431,5817
77564,3,12,0.281305,0.468006,0.186701,5904
77564,3,13,0.268764,0.460063,0.191299,5834
77564,3,14,0.273988,0.460805,0.186817,5938
77564,3,15,0.262781,0.458424,0.195644,5872
77564,4,0,0.389825,0.658437,0.268611,10344
77564,4,1,0.560881,0.791624,0.230743,10334
77564,4,2,0.595530,0.825517,0.229987,10337
77564,4,3,0.583226,0.828840,0.245614,10345
77564,4,4,0.608436,0.848005,0.239570,10361
77564,4,5,0.605083,0.845757,0.240674,10328
77564,4,6,0.594923,0.838855,0.243933,10347
77564,4,7,0.600312,0.836453,0.236141,10352
77564,4,8,0.600939,0.842806,0.241868,10345
77564,4,9,0.601252,0.840107,0.238856,10360
77564,4,10,0.612546,0.848942,0.236396,10336
77564,4,11,0.620758,0.835214,0.214456,10325
77564,4,12,0.616046,0.842392,0.226346,10331
77564,4,13,0.603481,0.833292,0.229812,10352
77564,4,14,0.609462,0.833179,0.223717,10352
77564,4,15,0.597515,0.816647,0.219132,10328
77564,5,0,0.778030,1.022738,0.244708,10494
77564,5,1,0.949032,1.156596,0.207564,10495
77564,5,2,0.983818,1.209983,0.226165,10496
77564,5,3,0.971490,1.208175,0.236686,10497
77564,5,4,0.997498,1.208405,0.210907,10502
77564,5,5,0.993160,1.222289,0.229129,10496
77564,5,6,0.983157,1.203512,0.220355,10495
77564,5,7,0.988392,1.209614,0.221222,10494
77564,5,8,0.989116,1.219287,0.230171,10493
77564,5,9,0.989362,1.215401,0.226038,10496
77564,5,10,1.000738,1.217289,0.216551,10486
77564,5,11,1.008889,1.224094,0.215205,10494
77564,5,12,1.004387,1.207474,0.203086,10493
77564,5,13,0.991554,1.194694,0.203140,10485
